Product 1,1000000000000000,3
Product 2,19.99,0
Product 3,8.99,4
Product 4,15.99,4
Product 5,12.99,3
Product 6,9.99,5
Product 7,7.99,4
Product 8,11.99,4
Product 9,14.99,3
Product 10,17.99,5
Product 11,9.99,4
Product 12,13.99,4
Product 13,16.99,3
Product 14,1,5
Product 15,10.99,4
Product 16,18.99,3
Product 17,7.99,99999999
Product 18,12.99,5
Product 19,15.99,4
Product 20,9.99,3
Product 21,13.99,5
Product 22,11.99,3
Product 23,19.99,4
Product 24,16.99,4
Product 25,8.99,3
Product 26,14.99,5
Product 27,10.99,5
Product 28,17.99,4
Product 29,20.99,3
Product 30,9.99,4
Product 31,12.99,4
Product 32,15.99,3
Product 33,7.99,5
Product 34,13.99,5
Product 35,18.99,4
Product 36,11.99,3
Product 37,16.99,4
Product 38,10.99,3
Product 39,14.99,5
Product 40,9.99,5
Product 41,17.99,4
Product 42,20.99,3
Product 43,12.99,4
Product 44,8.99,3
Product 45,15.99,5
Product 46,13.99,5
Product 47,9.99,4
Product 48,18.99,4
Product 49,7.99,3
Product 50,11.99,5
Product 51,16.99,5
Product 52,10.99,4
Product 53,20.99,4
Product 54,14.99,3
Product 55,9.99,3
Product 56,17.99,5
Product 57,12.99,5
Product 58,13.99,4
Product 59,8.99,4
Product 60,15.99,3
Product 61,11.99,5
Product 62,10.99,5
Product 63,9.99,4
Product 64,20.99,3
Product 65,16.99,3
Product 66,7.99,5
Product 67,12.99,5
Product 68,18.99,4
Product 69,14.99,3
Product 70,9.99,4
Product 71,10.99,4
Product 72,15.99,5
Product 73,13.99,3
Product 1,10000000,3
Product 2,19.99,0
Product 3,8.99,5
Product 4,15.99,4
Product 5,12.99,3
Product 6,9.99,5
Product 7,7.99,4
Product 8,11.99,4
Product 9,14.99,3
Product 10,17.99,5
Product 11,9.99,4
Product 12,13.99,4
Product 13,16.99,3
Product 14,1,5
Product 15,10.99,4
Product 16,18.99,3
Product 17,7.99,5
Product 18,12.99,5
Product 19,15.99,4
Product 20,9.99,3
Product 21,13.99,5
Product 22,11.99,3
Product 23,19.99,4
Product 24,16.99,4
Product 25,8.99,3
Product 26,14.99,5
Product 27,10.99,5
Product 28,17.99,4
Product 29,20.99,3
Product 30,9.99,4
Product 31,12.99,4
Product 32,15.99,3
Product 33,7.99,5
Product 34,13.99,5
Product 35,18.99,4
Product 36,11.99,3
Product 37,16.99,4
Product 38,10.99,3
Product 39,14.99,5
Product 40,9.99,5
Product 41,17.99,4
Product 42,20.99,3
Product 43,12.99,4
Product 44,8.99,3
Product 45,15.99,5
Product 46,13.99,5
Product 47,9.99,4
Product 48,18.99,4
Product 49,7.99,3
Product 50,11.99,5
Product 51,16.99,5
Product 52,10.99,4
Product 53,20.99,4
Product 54,14.99,3
Product 55,9.99,3
Product 56,17.99,5
Product 57,12.99,5
Product 58,13.99,4
Product 59,8.99,4
Product 60,15.99,3
Product 61,11.99,5
Product 62,10.99,5
Product 63,9.99,4
Product 64,20.99,3
Product 65,16.99,3
Product 66,7.99,5
Product 67,12.99,5
Product 68,18.99,4
Product 69,14.99,3
Product 70,9.99,4
Product 71,10.99,4
Product 72,15.99,5
Product 73,13.99,3
Product 1,10000000,3
Product 2,19.99,0
Product 3,8.99,5
Product 4,15.99,4
Product 5,12.99,3
Product 6,9.99,5
Product 7,7.99,4
Product 8,11.99,4
Product 9,14.99,3
Product 10,17.99,5
Product 11,9.99,4
Product 12,13.99,4
Product 13,16.99,3
Product 14,1,5
Product 15,10.99,4
Product 16,18.99,3
Product 17,7.99,5
Product 18,12.99,5
Product 19,15.99,4
Product 20,9.99,3
Product 21,13.99,5
Product 22,11.99,3
Product 23,19.99,4
Product 24,16.99,4
Product 25,8.99,3
Product 26,14.99,5
Product 27,10.99,5
Product 28,17.99,4
Product 29,20.99,3
Product 30,9.99,4
Product 31,12.99,4
Product 32,15.99,3
Product 33,7.99,5
Product 34,13.99,5
Product 35,18.99,4
Product 36,11.99,3
Product 37,16.99,4
Product 38,10.99,3
Product 39,14.99,5
Product 40,9.99,5
Product 41,17.99,4
Product 42,20.99,3
Product 43,12.99,4
Product 44,8.99,3
Product 45,15.99,5
Product 46,13.99,5
Product 47,9.99,4
Product 48,18.99,4
Product 49,7.99,3
Product 50,11.99,5
Product 51,16.99,5
Product 52,10.99,4
Product 53,20.99,4
Product 54,14.99,3
Product 55,9.99,3
Product 56,17.99,5
Product 57,12.99,5
Product 58,13.99,4
Product 59,8.99,4
Product 60,15.99,3
Product 61,11.99,5
Product 62,10.99,5
Product 63,9.99,4
Product 64,20.99,3
Product 65,16.99,3
Product 66,7.99,5
Product 67,12.99,5
Product 68,18.99,4
Product 69,14.99,3
Product 70,9.99,4
Product 71,10.99,4
Product 72,15.99,5
Product 73,13.99,3
Product 1,10000000,3
Product 2,19.99,0
Product 3,8.99,5
Product 4,15.99,4
Product 5,12.99,3
Product 6,9.99,5
Product 7,7.99,4
Product 8,11.99,4
Product 9,14.99,3
Product 10,17.99,5
Product 11,9.99,4
Product 12,13.99,4
Product 13,16.99,3
Product 14,1,5
Product 15,10.99,4
Product 16,18.99,3
Product 17,7.99,5
Product 18,12.99,5
Product 19,15.99,4
Product 20,9.99,3
Product 21,13.99,5
Product 22,11.99,3
Product 23,19.99,4
Product 24,16.99,4
Product 25,8.99,3
Product 26,14.99,5
Product 27,10.99,5
Product 28,17.99,4
Product 29,20.99,3
Product 30,9.99,4
Product 31,12.99,4
Product 32,15.99,3
Product 33,7.99,5
Product 34,13.99,5
Product 35,18.99,4
Product 36,11.99,3
Product 37,16.99,4
Product 38,10.99,3
Product 39,14.99,5
Product 40,9.99,5
Product 41,17.99,4
Product 42,20.99,3
Product 43,12.99,4
Product 44,8.99,3
Product 45,15.99,5
Product 46,13.99,5
Product 47,9.99,4
Product 48,18.99,4
Product 49,7.99,3
Product 50,11.99,5
Product 51,16.99,5
Product 52,10.99,4
Product 53,20.99,4
Product 54,14.99,3
Product 55,9.99,3
Product 56,17.99,5
Product 57,12.99,5
Product 58,13.99,4
Product 59,8.99,4
Product 60,15.99,3
Product 61,11.99,5
Product 62,10.99,5
Product 63,9.99,4
Product 64,20.99,3
Product 65,16.99,3
Product 66,7.99,5
Product 67,12.99,5
Product 68,18.99,4
Product 69,14.99,3
Product 70,9.99,4
Product 71,10.99,4
Product 72,15.99,5
Product 73,13.99,3
Product 1,10000000,3
Product 2,19.99,0
Product 3,8.99,5
Product 4,15.99,4
Product 5,12.99,3
Product 6,9.99,5
Product 7,7.99,4
Product 8,11.99,4
Product 9,14.99,3
Product 10,17.99,5
Product 11,9.99,4
Product 12,13.99,4
Product 13,16.99,3
Product 14,1,5
Product 15,10.99,4
Product 16,18.99,3
Product 17,7.99,5
Product 18,12.99,5
Product 19,15.99,4
Product 20,9.99,3
Product 21,13.99,5
Product 22,11.99,3
Product 23,19.99,4
Product 24,16.99,4
Product 25,8.99,3
Product 26,14.99,5
Product 27,10.99,5
Product 28,17.99,4
Product 29,20.99,3
Product 30,9.99,4
Product 31,12.99,4
Product 32,15.99,3
Product 33,7.99,5
Product 34,13.99,5
Product 35,18.99,4
Product 36,11.99,3
Product 37,16.99,4
Product 38,10.99,3
Product 39,14.99,5
Product 40,9.99,5
Product 41,17.99,4
Product 42,20.99,3
Product 43,12.99,4
Product 44,8.99,3
Product 45,15.99,5
Product 46,13.99,5
Product 47,9.99,4
Product 48,18.99,4
Product 49,7.99,3
Product 50,11.99,5
Product 51,16.99,5
Product 52,10.99,4
Product 53,20.99,4
Product 54,14.99,3
Product 55,9.99,3
Product 56,17.99,5
Product 57,12.99,5
Product 58,13.99,4
Product 59,8.99,4
Product 60,15.99,3
Product 61,11.99,5
Product 62,10.99,5
Product 63,9.99,4
Product 64,20.99,3
Product 65,16.99,3
Product 66,7.99,5
Product 67,12.99,5
Product 68,18.99,4
Product 69,14.99,3
Product 70,9.99,4
Product 71,10.99,4
Product 72,15.99,5
Product 73,13.99,3
Product 1,10000000,3
Product 2,19.99,0
Product 3,8.99,5
Product 4,15.99,4
Product 5,12.99,3
Product 6,9.99,5
Product 7,7.99,4
Product 8,11.99,4
Product 9,14.99,3
Product 10,17.99,5
Product 11,9.99,4
Product 12,13.99,4
Product 13,16.99,3
Product 14,1,5
Product 15,10.99,4
Product 16,18.99,3
Product 17,7.99,5
Product 18,12.99,5
Product 19,15.99,4
Product 20,9.99,3
Product 21,13.99,5
Product 22,11.99,3
Product 23,19.99,4
Product 24,16.99,4
Product 25,8.99,3
Product 26,14.99,5
Product 27,10.99,5
Product 28,17.99,4
Product 29,20.99,3
Product 30,9.99,4
Product 31,12.99,4
Product 32,15.99,3
Product 33,7.99,5
Product 34,13.99,5
Product 35,18.99,4
Product 36,11.99,3
Product 37,16.99,4
Product 38,10.99,3
Product 39,14.99,5
Product 40,9.99,5
Product 41,17.99,4
Product 42,20.99,3
Product 43,12.99,4
Product 44,8.99,3
Product 45,15.99,5
Product 46,13.99,5
Product 47,9.99,4
Product 48,18.99,4
Product 49,7.99,3
Product 50,11.99,5
Product 51,16.99,5
Product 52,10.99,4
Product 53,20.99,4
Product 54,14.99,3
Product 55,9.99,3
Product 56,17.99,5
Product 57,12.99,5
Product 58,13.99,4
Product 59,8.99,4
Product 60,15.99,3
Product 61,11.99,5
Product 62,10.99,5
Product 63,9.99,4
Product 64,20.99,3
Product 65,16.99,3
Product 66,7.99,5
Product 67,12.99,5
Product 68,18.99,4
Product 69,14.99,3
Product 70,9.99,4
Product 71,10.99,4
Product 72,15.99,5
Product 73,13.99,3
Product 1,10000000,3
Product 2,19.99,0
Product 3,8.99,5
Product 4,15.99,4
Product 5,12.99,3
Product 6,9.99,5
Product 7,7.99,4
Product 8,11.99,4
Product 9,14.99,3
Product 10,17.99,5
Product 11,9.99,4
Product 12,13.99,4
Product 13,16.99,3
Product 14,1,5
Product 15,10.99,4
Product 16,18.99,3
Product 17,7.99,5
Product 18,12.99,5
Product 19,15.99,4
Product 20,9.99,3
Product 21,13.99,5
Product 22,11.99,3
Product 23,19.99,4
Product 24,16.99,4
Product 25,8.99,3
Product 26,14.99,5
Product 27,10.99,5
Product 28,17.99,4
Product 29,20.99,3
Product 30,9.99,4
Product 31,12.99,4
Product 32,15.99,3
Product 33,7.99,5
Product 34,13.99,5
Product 35,18.99,4
Product 36,11.99,3
Product 37,16.99,4
Product 38,10.99,3
Product 39,14.99,5
Product 40,9.99,5
Product 41,17.99,4
Product 42,20.99,3
Product 43,12.99,4
Product 44,8.99,3
Product 45,15.99,5
Product 46,13.99,5
Product 47,9.99,4
Product 48,18.99,4
Product 49,7.99,3
Product 50,11.99,5
Product 51,16.99,5
Product 52,10.99,4
Product 53,20.99,4
Product 54,14.99,3
Product 55,9.99,3
Product 56,17.99,5
Product 57,12.99,5
Product 58,13.99,4
Product 59,8.99,4
Product 60,15.99,3
Product 61,11.99,5
Product 62,10.99,5
Product 63,9.99,4
Product 64,20.99,3
Product 65,16.99,3
Product 66,7.99,5
Product 67,12.99,5
Product 68,18.99,4
Product 69,14.99,3
Product 70,9.99,4
Product 71,10.99,4
Product 72,15.99,5
Product 73,13.99,3
Product 1,10000000,3
Product 2,19.99,0
Product 3,8.99,5
Product 4,15.99,4
Product 5,12.99,3
Product 6,9.99,5
Product 7,7.99,4
Product 8,11.99,4
Product 9,14.99,3
Product 10,17.99,5
Product 11,9.99,4
Product 12,13.99,4
Product 13,16.99,3
Product 14,1,5
Product 15,10.99,4
Product 16,18.99,3
Product 17,7.99,5
Product 18,12.99,5
Product 19,15.99,4
Product 20,9.99,3
Product 21,13.99,5
Product 22,11.99,3
Product 23,19.99,4
Product 24,16.99,4
Product 25,8.99,3
Product 26,14.99,5
Product 27,10.99,5
Product 28,17.99,4
Product 29,20.99,3
Product 30,9.99,4
Product 31,12.99,4
Product 32,15.99,3
Product 33,7.99,5
Product 34,13.99,5
Product 35,18.99,4
Product 36,11.99,3
Product 37,16.99,4
Product 38,10.99,3
Product 39,14.99,5
Product 40,9.99,5
Product 41,17.99,4
Product 42,20.99,3
Product 43,12.99,4
Product 44,8.99,3
Product 45,15.99,5
Product 46,13.99,5
Product 47,9.99,4
Product 48,18.99,4
Product 49,7.99,3
Product 50,11.99,5
Product 51,16.99,5
Product 52,10.99,4
Product 53,20.99,4
Product 54,14.99,3
Product 55,9.99,3
Product 56,17.99,5
Product 57,12.99,5
Product 58,13.99,4
Product 59,8.99,4
Product 60,15.99,3
Product 61,11.99,5
Product 62,10.99,5
Product 63,9.99,4
Product 64,20.99,3
Product 65,16.99,3
Product 66,7.99,5
Product 67,12.99,5
Product 68,18.99,4
Product 69,14.99,3
Product 70,9.99,4
Product 71,10.99,4
Product 72,15.99,5
Product 73,13.99,3
Product 1,10000000,3
Product 2,19.99,0
Product 3,8.99,5
Product 4,15.99,4
Product 5,12.99,3
Product 6,9.99,5
Product 7,7.99,4
Product 8,11.99,4
Product 9,14.99,3
Product 10,17.99,5
Product 11,9.99,4
Product 12,13.99,4
Product 13,16.99,3
Product 14,1,5
Product 15,10.99,4
Product 16,18.99,3
Product 17,7.99,5
Product 18,12.99,5
Product 19,15.99,4
Product 20,9.99,3
Product 21,13.99,5
Product 22,11.99,3
Product 23,19.99,4
Product 24,16.99,4
Product 25,8.99,3
Product 26,14.99,5
Product 27,10.99,5
Product 28,17.99,4
Product 29,20.99,3
Product 30,9.99,4
Product 31,12.99,4
Product 32,15.99,3
Product 33,7.99,5
Product 34,13.99,5
Product 35,18.99,4
Product 36,11.99,3
Product 37,16.99,4
Product 38,10.99,3
Product 39,14.99,5
Product 40,9.99,5
Product 41,17.99,4
Product 42,20.99,3
Product 43,12.99,4
Product 44,8.99,3
Product 45,15.99,5
Product 46,13.99,5
Product 47,9.99,4
Product 48,18.99,4
Product 49,7.99,3
Product 50,11.99,5
Product 51,16.99,5
Product 52,10.99,4
Product 53,20.99,4
Product 54,14.99,3
Product 55,9.99,3
Product 56,17.99,5
Product 57,12.99,5
Product 58,13.99,4
Product 59,8.99,4
Product 60,15.99,3
Product 61,11.99,5
Product 62,10.99,5
Product 63,9.99,4
Product 64,20.99,3
Product 65,16.99,3
Product 66,7.99,5
Product 67,12.99,5
Product 68,18.99,4
Product 69,14.99,3
Product 70,9.99,4
Product 71,10.99,4
Product 72,15.99,5
Product 73,13.99,3
Product 1,10000000,3
Product 2,19.99,0
Product 3,8.99,5
Product 4,15.99,4
Product 5,12.99,3
Product 6,9.99,5
Product 7,7.99,4
Product 8,11.99,4
Product 9,14.99,3
Product 10,17.99,5
Product 11,9.99,4
Product 12,13.99,4
Product 13,16.99,3
Product 14,1,5
Product 15,10.99,4
Product 16,18.99,3
Product 17,7.99,5
Product 18,12.99,5
Product 19,15.99,4
Product 20,9.99,3
Product 21,13.99,5
Product 22,11.99,3
Product 23,19.99,4
Product 24,16.99,4
Product 25,8.99,3
Product 26,14.99,5
Product 27,10.99,5
Product 28,17.99,4
Product 29,20.99,3
Product 30,9.99,4
Product 31,12.99,4
Product 32,15.99,3
Product 33,7.99,5
Product 34,13.99,5
Product 35,18.99,4
Product 36,11.99,3
Product 37,16.99,4
Product 38,10.99,3
Product 39,14.99,5
Product 40,9.99,5
Product 41,17.99,4
Product 42,20.99,3
Product 43,12.99,4
Product 44,8.99,3
Product 45,15.99,5
Product 46,13.99,5
Product 47,9.99,4
Product 48,18.99,4
Product 49,7.99,3
Product 50,11.99,5
Product 51,16.99,5
Product 52,10.99,4
Product 53,20.99,4
Product 54,14.99,3
Product 55,9.99,3
Product 56,17.99,5
Product 57,12.99,5
Product 58,13.99,4
Product 59,8.99,4
Product 60,15.99,3
Product 61,11.99,5
Product 62,10.99,5
Product 63,9.99,4
Product 64,20.99,3
Product 65,16.99,3
Product 66,7.99,5
Product 67,12.99,5
Product 68,18.99,4
Product 69,14.99,3
Product 70,9.99,4
Product 71,10.99,4
Product 72,15.99,5
Product 73,13.99,3
Product 1,10000000,3
Product 2,19.99,0
Product 3,8.99,5
Product 4,15.99,4
Product 5,12.99,3
Product 6,9.99,5
Product 7,7.99,4
Product 8,11.99,4
Product 9,14.99,3
Product 10,17.99,5
Product 11,9.99,4
Product 12,13.99,4
Product 13,16.99,3
Product 14,1,5
Product 15,10.99,4
Product 16,18.99,3
Product 17,7.99,5
Product 18,12.99,5
Product 19,15.99,4
Product 20,9.99,3
Product 21,13.99,5
Product 22,11.99,3
Product 23,19.99,4
Product 24,16.99,4
Product 25,8.99,3
Product 26,14.99,5
Product 27,10.99,5
Product 28,17.99,4
Product 29,20.99,3
Product 30,9.99,4
Product 31,12.99,4
Product 32,15.99,3
Product 33,7.99,5
Product 34,13.99,5
Product 35,18.99,4
Product 36,11.99,3
Product 37,16.99,4
Product 38,10.99,3
Product 39,14.99,5
Product 40,9.99,5
Product 41,17.99,4
Product 42,20.99,3
Product 43,12.99,4
Product 44,8.99,3
Product 45,15.99,5
Product 46,13.99,5
Product 47,9.99,4
Product 48,18.99,4
Product 49,7.99,3
Product 50,11.99,5
Product 51,16.99,5
Product 52,10.99,4
Product 53,20.99,4
Product 54,14.99,3
Product 55,9.99,3
Product 56,17.99,5
Product 57,12.99,5
Product 58,13.99,4
Product 59,8.99,4
Product 60,15.99,3
Product 61,11.99,5
Product 62,10.99,5
Product 63,9.99,4
Product 64,20.99,3
Product 65,16.99,3
Product 66,7.99,5
Product 67,12.99,5
Product 68,18.99,4
Product 69,14.99,3
Product 70,9.99,4
Product 71,10.99,4
Product 72,15.99,5
Product 73,13.99,3
Product 1,10000000,3
Product 2,19.99,0
Product 3,8.99,5
Product 4,15.99,4
Product 5,12.99,3
Product 6,9.99,5
Product 7,7.99,4
Product 8,11.99,4
Product 9,14.99,3
Product 10,17.99,5
Product 11,9.99,4
Product 12,13.99,4
Product 13,16.99,3
Product 14,1,5
Product 15,10.99,4
Product 16,18.99,3
Product 17,7.99,5
Product 18,12.99,5
Product 19,15.99,4
Product 20,9.99,3
Product 21,13.99,5
Product 22,11.99,3
Product 23,19.99,4
Product 24,16.99,4
Product 25,8.99,3
Product 26,14.99,5
Product 27,10.99,5
Product 28,17.99,4
Product 29,20.99,3
Product 30,9.99,4
Product 31,12.99,4
Product 32,15.99,3
Product 33,7.99,5
Product 34,13.99,5
Product 35,18.99,4
Product 36,11.99,3
Product 37,16.99,4
Product 38,10.99,3
Product 39,14.99,5
Product 40,9.99,5
Product 41,17.99,4
Product 42,20.99,3
Product 43,12.99,4
Product 44,8.99,3
Product 45,15.99,5
Product 46,13.99,5
Product 47,9.99,4
Product 48,18.99,4
Product 49,7.99,3
Product 50,11.99,5
Product 51,16.99,5
Product 52,10.99,4
Product 53,20.99,4
Product 54,14.99,3
Product 55,9.99,3
Product 56,17.99,5
Product 57,12.99,5
Product 58,13.99,4
Product 59,8.99,4
Product 60,15.99,3
Product 61,11.99,5
Product 62,10.99,5
Product 63,9.99,4
Product 64,20.99,3
Product 65,16.99,3
Product 66,7.99,5
Product 67,12.99,5
Product 68,18.99,4
Product 69,14.99,3
Product 70,9.99,4
Product 71,10.99,4
Product 72,15.99,5
Product 73,13.99,3
Product 1,10000000,3
Product 2,19.99,0
Product 3,8.99,5
Product 4,15.99,4
Product 5,12.99,3
Product 6,9.99,5
Product 7,7.99,4
Product 8,11.99,4
Product 9,14.99,3
Product 10,17.99,5
Product 11,9.99,4
Product 12,13.99,4
Product 13,16.99,3
Product 14,1,5
Product 15,10.99,4
Product 16,18.99,3
Product 17,7.99,5
Product 18,12.99,5
Product 19,15.99,4
Product 20,9.99,3
Product 21,13.99,5
Product 22,11.99,3
Product 23,19.99,4
Product 24,16.99,4
Product 25,8.99,3
Product 26,14.99,5
Product 27,10.99,5
Product 28,17.99,4
Product 29,20.99,3
Product 30,9.99,4
Product 31,12.99,4
Product 32,15.99,3
Product 33,7.99,5
Product 34,13.99,5
Product 35,18.99,4
Product 36,11.99,3
Product 37,16.99,4
Product 38,10.99,3
Product 39,14.99,5
Product 40,9.99,5
Product 41,17.99,4
Product 42,20.99,3
Product 43,12.99,4
Product 44,8.99,3
Product 45,15.99,5
Product 46,13.99,5
Product 47,9.99,4
Product 48,18.99,4
Product 49,7.99,3
Product 50,11.99,5
Product 51,16.99,5
Product 52,10.99,4
Product 53,20.99,4
Product 54,14.99,3
Product 55,9.99,3
Product 56,17.99,5
Product 57,12.99,5
Product 58,13.99,4
Product 59,8.99,4
Product 60,15.99,3
Product 61,11.99,5
Product 62,10.99,5
Product 63,9.99,4
Product 64,20.99,3
Product 65,16.99,3
Product 66,7.99,5
Product 67,12.99,5
Product 68,18.99,4
Product 69,14.99,3
Product 70,9.99,4
Product 71,10.99,4
Product 72,15.99,5
Product 1012,12192192,1009999999999999
Product 10990,12192192,100